Obsolète;Code terrain;Toponyme;Type;Date creation;Dernière modification;Date validation;Position;Latitude;Longitude;Altitude;Consignes;Nombre de pistes;Nature première piste;Axe préférentiel première piste;Largeur première piste;Longueur première piste;Orientation première piste;Nature deuxième piste;Axe préférentiel deuxième piste;Largeur deuxième piste;Longueur deuxième piste;Orientation deuxième piste;Radio;Carburant;Facilités;Facilités en clair;Email de contact;Téléphone;Informations complémentaires;Gestionnaire terrain
"";"LF5451";"Hoeville";"Base ULM Autorisation OBLIGATOIRE ";"28/09/2011";"29/01/2023";"28/05/2026";"48.715000,6.438611";"N 48 42 54";"E 006 26 19";"1004 ft";"Tour de piste au SUD avec large contournement du village obligatoire pour éviter les nuisances sonores, ou au NORD uniquement si bonne maitrise des basses vitesses, des circuits courts et finales très courtes





Ligne Très Haute Tension à 450 m du seuil de piste 05, au sud des installations.





En cas de vent de travers avec composante Nord, privilégier le tour de piste par le SUD pour ne pas être poussé par le vent en étape de base.";"1";"herbe";"'05";"40";"280";"'05-23";"";"";"";"";"";"125.335";"";"2,3,4,5";"Hangar possible, Restauration sur place, Gîte à proximité, Camping possible";"nicolas.schmitt1974@gmail.com";"+33 6 65 72 24 23";"";"Nicolas SCHMITT";
"";"LF5453";"Grand Couronné";"Base ULM Autorisation OBLIGATOIRE ";"11/11/2011";"1/01/2024";"4/01/2024";"48.766146759369,6.221115589141846";"N 48 45 58";"E 006 13 16";"1250 ft";"Tour de piste au nord, attention vols de paramoteurs et de modèles réduits.";"1";"herbe";"'06";"40";"400";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"5";"Camping possible";"luc.chaufournier@orange.fr";"+33 6 80 71 71 57";"";"ULM Club du Grand Couronné";
"";"LF5454";"Laloeuf";"Base Paramoteurs Privée Ouverte aux ULM sur autorisation";"18/03/2013";"25/12/2015";"6/02/2016";"48.463462709572,6.024172401428132";"N 48 27 48";"E 006 01 27";"1000 ft";"Plate-forme ULM uniquement accessible aux paramoteurs.";"1";"herbe";"";"300";"250";"'omnidir";"herbe";"";"";"";"'Inconnue";"";"";"";"";"v.guigui@hotmail.fr";"+33 6 10 31 76 22";"";"Vallance Guillaume";
"";"LF5521";"Corniéville";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"26/09/2023";"28/09/2023";"48.763876365587,5.695641830688487";"N 48 45 50";"E 005 41 44";"904 ft";"Réservé aux pilotes autorisés. Ne pas confondre avec le terrain d'ULM de Géville LF5551 qui est sur le coteau


Tour de piste main gauche à 660 pieds par vent faible utiliser le QFU 36 seuil décalé au QFU 18, ne pas survoler la route à basse altitude";"1";"herbe";"'36";"60";"500";"'18-36";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"1949@gmail.com";"+33 6 52 80 44 47";"Turbulences en finale par vent d'Est fort. Attention à la ligne électrique en finale 36. Contacter ULM Géville sur 125.335 avant de se poser ou décoller. 


.";"";
"oui";"LF5522";"Dommary";"Base ULM fermée définitivement";"9/03/2011";"27/11/2012";"28/11/2012";"49.279167,5.719444000000067";"N 49 16 45";"E 005 43 10";"867 ft";"PAS DE SURVOL DU VILLAGE, MERCI.";"1";"herbe";"";"";"550";"'05-23";"";"";"";"";"";"";"";"";"";"philippeficarelli@wanadoo.fr";"+33 6 08 343 565";"ULM PASSION LORRAINE  DISTRIBUTEUR AIR CREATION FORMATION PENDULAIRE ET MULTIAXES.


TERRAIN FERME DEFINITIVEMENT";"";
"";"LF5523";"Chassey Beaupré";"Base ULM Accès privé";"18/09/2011";"9/01/2017";"14/04/2023";"48.45396886537,5.445442199707031";"N 48 27 14";"E 005 26 44";"1143 ft";"";"1";"herbe";"";"30";"350";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"2";"Hangar possible";"";"+33 3 29 89 68 82";"accès par la route :


D32b (par Chassey, Meuse) 


D115 (par Cirfontaines, Haute-Marne) ";"";
"";"LF5524";"Beauclair";"!! Type de terrain mal défini !!";"8/03/2011";"25/08/2016";"18/04/2026";"49.461163,5.108883";"N 49 27 40";"E 005 06 32";"600 ft";"Seuil de piste 03 (haie) se trouvant exactement à la limite des 2 départements Meuse et Ardennes.





Tour de piste à l'Ouest uniquement.





Attention par temps de pluie et en hiver la partie nord de la piste a tendance à être boueuse";"1";"herbe";"'21";"30";"300";"'03-21";"";"";"";"";"";"125.335";"";"4";"Gîte à proximité";"tpdc89@gmail.com";"+33687319960";"Suite à changement de propriétaire la plate-forme est actuellement fermée le temps des démarches administratives";"Thomas PEREIRA DA COSTA";
"";"LF5525";"Fains Véel";"Base ULM Autorisation OBLIGATOIRE ";"9/12/2011";"9/02/2025";"7/05/2026";"48.780020,5.110595";"N 48 46 48";"E 005 06 38";"827 ft";"Tour de piste à l'ouest. Eviter le survol des villages environnants Piste préférentielle à l'atterrissage 01.


Par temps pluvieux, attérir coté droit piste 01 ou coté gauche piste 19, Ce coté n'est pas humide.


1 cloture électrique entoure la piste";"1";"herbe";"'01";"25";"400";"'01-19";"";"";"";"";"";"125.335";"Station à 3 km";"4";"Gîte à proximité";"joel.piana@hotmail.fr";"+33 6 72 42 65 45";"La photo n° 2 ci-dessous représente les hangars et le seuil de piste 19.


Gîte à proximité : https://www.gites-de-meuse.fr/fr/location/locations-gites-bar-le-duc-chalet-leveque-h55g022687?capacity=6#description";"";
"";"LF5526";"Montmédy-Marville";"Aérodrome Privé Ouvert aux ULM";"0/00/0000";"12/04/2023";"5/05/2026";"49.456870,5.411330";"N 49 27 25";"E 005 24 41";"909 ft";"Les pistes sont situées au sein d’une centrale photovoltaïque, à ce titre, le respect des consignes sont indispensables.


- Piste Nord : ouverte à tout pilote dûment autorisé.


- Plateforme ULM Sud : strictement réservée aux instructeurs basés.


VAC : https://docs.google.com/presentation/d/1Kw6jgDFV5HQ5CQYRwEs0tP0hpHlJluPZ/edit?usp=drive_link&ouid=104013238864499020878&rtpof=true&sd=true";"2";"dur";"'11";"45";"1940";"'11-29";"dur";"'11";"30";"1000";"'11-29";"123.500";"";"4,6";"Gîte à proximité, Restauration &agrave proximité";"pilotesdemarville.president@gmail.com";"+33 6 70 66 24 69";"Roulage : Utiliser la bretelles du milieu reliant les pistes à la zone de parking devant les hangars. Le roulage à l'extérieur de la plateforme opérationnelle doit s'effectuer moteur arrêté





Clubs : 


- Les pilotes de Marville ' Association gestionnaire ' : pilotesdemarville.president@gmail.com


- Ulm Club : schumacher-thierry@skynet.be


- ACRSCAANL : joel.claudot@skynet.be";"Association des Pilotes de Marville";
"";"LF5551";"Geville";"Base ULM ouverte tous types";"5/12/2011";"21/04/2023";"17/02/2026";"48.768889,5.684722";"N 48 46 08";"E 005 41 05";"1200 ft";"Eviter le survol des villages proches.


Verticale en ouest à 300m - TDP ouest 200 m 


Turbulences marquées par vent traversier";"1";"herbe";"'35";"30";"420";"'17-35";"";"";"";"";"";"125.335";"SP98";"2,5";"Hangar possible, Camping possible";"cirrusairevasion@gmail.com";"+33 7 82 53 10 50";"Plateforme accessible toute l'année.





SP98 disponible, mais il est préférable de réserver en cas de besoin de carburant.





Camping possible.";"Cirrus Air Evasion";
"";"LF5552";"Billy-sous-Mangiennes";"Base ULM Autorisation OBLIGATOIRE ";"5/12/2011";"24/06/2025";"26/06/2025";"49.32455557990876,5.609550476074219";"N 49 19 28";"E 005 36 34";"785 ft";"Attention plateforme dans la CTR de la base du 3RHC, contacter l'approche sur 120.125 ou la tour sur 118.950.


TDP au sud


Ne pas survoler les habitations aux alentours.


Ecole et vols commerciaux interdits (cause assurance).";"1";"herbe";"";"20";"260";"'07-25";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"rohe_cedric@yahoo.fr";"+33 6 27 49 11 78";" Soumis à accord préalable du propriétaire.


 Utilisation sous la responsabilité du pilote.";"";
"oui";"LF5553";"Mad'In Ulm";"Base ULM fermée définitivement";"6/07/2012";"20/08/2019";"23/09/2020";"48.944052885015,5.702311898242215";"N 48 56 39";"E 005 42 08";"768 ft";"";"1";"herbe";"";"35";"160";"'17-35";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"weberfrancis@orange.fr";"+33 6 82 67 19 34";"Propriétaire :  06 82 67 19 34";"MAD'IN ULM";
"";"LF5554";"La Bertaucourt";"Base ULM Accès limité Autorisation OBLIGATOIRE ";"15/10/2017";"12/11/2017";"14/04/2023";"49.0734250467247,5.751662847385205";"N 49 04 24";"E 005 45 06";"669 ft";"Atterrissage en 31. Décollage en 13 ( cause ligne téléphonique aérienne) ";"1";"herbe";"'31";"30";"280";"'13-31";"herbe";"";"";"";"'Inconnue";"125.335";"";"2";"Hangar possible";"christophe.robinet@wanadoo.fr";"+33 682 907 678";"Dans la CTR d'Etain sur 120.125


Soumis à accord préalable du propriétaire.


Utilisation sous la responsabilité du pilote.";"Propriétaire";
"oui";"LF5621";"Sarzeau";"Base ULM Autorisation OBLIGATOIRE ";"6/12/2011";"6/12/2011";"5/10/2022";"47.553055555556,-2.672222222222217";"N 47 33 11";"W 002 40 20";"66 ft";"";"1";"herbe";"";"0";"500";"'16-34";"herbe";"";"0";"0";"'Inconnue";"123.500";"";"0";"invalid";"";"";"position GPS exacte: 47°33'11'N - 2°40'20'W";"";
"oui";"LF5652";"Hydrosurface de Groix";"Hydrosurface fermée.";"16/07/2011";"10/06/2015";"18/08/2015";"47.63913798523211,-3.4178638458251953";"N 47 38 21";"W 003 25 04";"";"";"1";"eau";"'33";"0";"0";"'15-33";"herbe";"";"";"";"'Inconnue";"Lorient";"Nil";"";"";"";"";"Située en zone D18.


plage sable à proximité pour beacher";"PREMAR Atlantique";
"";"LF5653";"La Bochet";"Base ULM Accès privé";"6/12/2011";"22/07/2018";"14/04/2023";"47.531666666667,-2.1145248413085938";"N 47 31 54";"W 002 06 52";"144 ft";"Tour de piste Sud.





piste bombée au milieu.


Attention: Pylône téléphonique à l'Est";"1";"herbe";"'08";"40";"400";"'08-26";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 6 81 20 87 44";"";"Henri GAUTIER";
"";"LF5654";"Quily";"Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ";"6/12/2011";"24/06/2019";"14/04/2023";"47.883355318368,-2.486858367919922";"N 47 53 00";"W 002 29 13";"436 ft";"Piste limitée aux pilotes autorisés.


ATTENTION : Piste dangereuse par vent travers NO à SO et obstacles.


TDP à l'est 500ft recommandés.


Eviter survol des maisons environnantes


Pendulaires et ADAC!














";"1";"herbe";"'32";"30";"250";"'14-32";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"yannick.ruaud@orange.fr";"+33 6 24 88 27 96";"Décollage interdit en 14 cause route . 


Atterrissage :   


1-clôture à vache à gauche de la 32, 


2-Partie Gauche de la 32  près clôture : ornières  de 5 à 10 cm Prudence extrême ++


4-obstacles / 


-Seuil piste piste14 talus 1,5 m


-à Droite du seuil 32 (Poteau électrique), 


-et 50m après le bout de piste 32 (Arbre 10m). 





Bivouac court possible sur demande.";"Lib'air ULM";
"oui";"LF5655";"Ile d'Houat";"Hydrosurface fermée.";"26/12/2011";"3/08/2015";"18/08/2015";"47.40121305625527,-2.9522155761718682";"N 47 24 04";"W 002 57 08";"";"éviter survol de l'île, circuit prévu au Nord de la zone de posé";"1";"eau";"";"";"";"'omnidir";"herbe";"";"";"";"'Inconnue";"Auto-info 123.5";"Nil";"";"";"";"";"Attention l'hydrosurface est localisée au Nord Est de l'ïle et dans la majorité des cas n'est donc pas abritée de la houle et du clapot.


Possibilité de beacher sur la plage située au Nord de l'île (pas de rochers et peu fréquentée). 





Attention : hydrosurface intégralement située dans zone LF-D18A.";" Arrêté 108/92 - Prefect. Maritime de l'Atlantique";
"oui";"LF5656";"Belle-île  Les Grands Sables";"Hydrosurface fermée.";"2/01/2012";"3/07/2015";"24/07/2015";"47.319293051459,-3.099758529663063";"N 47 19 09";"W 003 05 59";"";"Zone protégée par vent du Sud uniquement. La zone de posé se situe au-delà de la bande des 300m du litoral lieu-dit 'plage des grands sables'";"1";"eau";"";"";"";"'omnidir";"herbe";"";"";"";"'Inconnue";"Auto-info 123.5";"";"";"";"";"";"Possibilité de beacher sur plage sableuse.


Situé dans Zone D18A, vérifier activité auprès de Lorient APP";"PREMAR ATLANTIQUE";
"";"LF5657";"Courant d'ailes";"Base Paramoteurs Privé Avec Restrictions Autorisation OBLIGATOIRE ";"18/11/2015";"10/12/2019";"14/04/2023";"47.578077135313,-2.64914741516111";"N 47 34 41";"W 002 38 57";"108 ft";"";"1";"herbe";"";"55";"55";"'omnidir";"herbe";"";"";"";"'Inconnue";"125.335";"";"6,4,5";"Restauration &agrave proximité, Gîte à proximité, Camping possible";"chris.charon@free.fr";"+33 6 81 19 12 61";"Contacter le gestionnaire avant accès.";"Courant d'ailes";
"";"LF5658";"Plouharnel";"Base Paramoteurs Privé Avec Restrictions Autorisation OBLIGATOIRE ";"22/07/2020";"22/07/2020";"9/12/2025";"47.592500,-3.136944";"N 47 35 33";"W 003 08 13";"5 ft";"";"1";"herbe";"";"30";"150";"'10-28";"";"";"";"";"";"125.335";"";"0";"invalid";"christophe.gloriant@orange.fr";"+33 6 85 72 42 99";"Radio obligatoire. Accès interdit sans autorisation.";"christophe GLORIANT";
"";"LF5659";"Bolan";"Base ULM Accès privé";"26/09/2023";"26/09/2023";"28/09/2023";"47.53335164360197,-2.7882499552844098";"N 47 32 00";"W 002 47 18";"49 ft";"";"1";"herbe";"";"30";"260";"'06-24";"herbe";"";"";"";"'Inconnue";"";"";"0";"invalid";"paragolfe@gmail.com";"";"Autorisation obligatoire ";"Surzur Alan";
"";"LF5710";"Bambi Air Club";"Base ULM Accès limité Autorisation OBLIGATOIRE ";"6/12/2011";"28/06/2025";"30/06/2025";"49.116098662462385,6.60790652381047";"N 49 06 58";"E 006 36 28";"1320 ft";"Verticale terrain 2500' (1200'aal) puis intégration tours de pistes à 2000' (700'aal)


Utilisation simultanée des 2 pistes (sécantes) interdite


Tours de piste 07/25 côté Sud-Est


Tours de piste 18/36 côté Est. 


survol des villages interdit Radio obligatoire";"2";"dur";"'07";"18";"450";"'07-25";"herbe";"";"20";"230";"'18-36";"125.335";"Oui sur demande";"6,2,1";"Restauration &agrave proximité, Hangar possible, Atelier ULM";"cedricseckingerbac@sfr.fr";"+33 6 13 37 07 22";"ATTENTION: Terrain situé sous la R163B et à proximité de la R45-N4 et R163C . PRUDENCE RECOMMANDEE. Rappel : R45-N4 : zone vol basse altitude grande vitesse RTBA Ochey-Information 130.675 ou 0383526446 ou AZBA SIA





Avitaillement UL91 ou SP 98 suivant livraison  et hangarage possibles avec préavis 24 h.





Piste 07/25 (en dur) en pente descendante en 25, piste 18/36 (en herbe) descendante en 18 ";"président";
"oui";"LF5721";"Denting";"Base ULM fermée temporairement ";"8/03/2011";"4/07/2015";"10/03/2025";"49.188889,6.555556";"N 49 11 20";"E 006 33 20";"";"";"1";"herbe";"";"";"700";"'Inconnue";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"+33 3 87 62 36 73";"pas évident sur google earth";"";
"";"LF5722";"Fresnes";"Base ULM Accès privé";"17/07/2011";"25/12/2015";"14/04/2023";"48.85672351867713,6.435115492079035";"N 48 51 24";"E 006 26 06";"958 ft";"Piste 1  tour de piste au SUD/OUEST (paramoteurs au nord)


piste 2  plate-forme paramoteur";"2";"herbe";"";"30";"540";"'13-31";"herbe";"";"";"";"'omnidir";"125.335";"";"0";"invalid";"";"+33 3 87 01 30 51";"";"aero-club du saulnois";
"";"LF5723";"Saint Avold";"Aérodrome Privé Ouvert aux ULM";"8/03/2011";"25/12/2015";"14/05/2021";"49.10220084931797,6.735047126953077";"N 49 06 08";"E 006 44 06";"1010 ft";"Piste en pente montante vers le SW. Tours de piste main gauche à 660 pieds. 8% sur 65 m, Utilisables 2,5% sur 80 m avant le chemin traversant la piste, 1,5% sur 380 m, -1 % sur 95 m. Eviter les remises de gaz au QFU 24 Par vent de secteur SW, violents rabattants en approche piste 24. Par vent de secteur S, fortes turbulences sous le vent des installations. Au QFU 06, se poser impérativement dans les premiers 100 m de la piste. Survol de Saint Avold et des agglomérations interdit.";"1";"herbe";"";"30";"555";"'06-24";"herbe";"";"";"";"'Inconnue";"123.500";"";"0";"invalid";"";"+33 3 87 29 94 00";"PPR: Autorisation préalable requise.


La photo ci-dessous a été prise en direction de l'Ouest. On y voit la petite route qui grimpe sur le plateau, le long d'un grand champ vert.";"";
"oui";"LF5724";"Vittoncourt";"Base ULM fermée définitivement";"9/03/2011";"17/06/2012";"4/07/2012";"49.038889,6.483056000000033";"N 49 02 20";"E 006 28 59";"820 ft";"PPR. Atterrissage en 06, décollage en 24. Possibles obstacles sur la piste.";"1";"herbe";"";"";"550";"'06-24";"";"";"";"";"";"";"";"";"";"";"+33 3 87 01 02 59";"";"";
"";"LF5726";"Bining";"Aérodrome Privé Interdit aux ULM Autorisation OBLIGATOIRE ";"8/03/2011";"25/12/2015";"28/02/2025";"49.041667,7.24222199999997";"N 49 02 30";"E 007 14 32";"1200 ft";"Tour de piste main droite";"1";"herbe";"'09";"40";"340";"'09-27";"herbe";"";"";"";"'Inconnue";"123.5";"NIL";"5";"Camping possible";"d.a.gross@orange.fr";"+33 6 07 89 38 41";"Accessible uniquement aux pilotes autorisés par le gestionnaire et déclarés en préfecture.";"Gross Denis";
"";"LF5728";"Flastroff";"Base ULM ouverte tous types";"8/03/2011";"3/03/2018";"14/04/2023";"49.392417561313955,6.54382367724611";"N 49 23 33";"E 006 32 38";"951 ft";"Plateforme située sur la colline du Kühlemberg. ";"1";"herbe";"";"";"210";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"";"";"";
"";"LF5730";"Gros Rederching";"Base ULM ouverte tous types";"8/03/2011";"3/07/2021";"14/04/2023";"49.062630015515474,7.239735809509284";"N 49 03 45";"E 007 14 23";"1132 ft";"Aéromodélisme.";"1";"herbe";"";"";"300";"'05-23";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"";"";"Ne semble plus active ULM";"";
"";"LF5751";"L'oiseau Blanc Achen";"Base ULM Autorisation OBLIGATOIRE ";"6/12/2011";"18/03/2021";"14/04/2023";"49.047376188653,7.16158390045166";"N 49 02 51";"E 007 09 42";"980 ft";"Tour de piste par le sud-est.


Piste en pente, utiliser de préférence la 04 sauf vent fort du secteur ouest





Eviter le survol des agglomérations voisines





Attention dégats par les sangliers fréquents


Effectuer un survol basse altitude préalable";"1";"herbe";"";"30";"350";"'04-22";"herbe";"";"";"";"'Inconnue";"125.335";"";"0";"invalid";"axel.geisler@yahoo.fr";"+33 3 87 02 01 67";"";"Club L'oiseau Blanc";
"";"LF5752";"Hargarten aux Mines";"Base ULM ouverte tous types";"8/03/2011";"25/12/2015";"14/04/2023";"49.21954680852624,6.586839611114556";"N 49 13 10";"E 006 35 13";"1050 ft";" Attention :


- chemin d'exploitation à chaque seuil de piste


- Plateforme proche de la zone R 45 interdite";"1";"herbe";"";"20";"310";"'06-24";"herbe";"";"";"";"'Inconnue";"125.335";"";"";"";"";"";"";"";
"";"LF5753";"Rémeling";"Base ULM Autorisation OBLIGATOIRE ";"6/12/2011";"6/08/2015";"14/04/2023";"49.411944444444,6.476944444444371";"N 49 24 43";"E 006 28 37";"1017 ft";"Circuit à l'ouest afin d'éviter le survol du village!


Piste en pente 


- montante dans le sens 04


- descendante dans le sens 22";"1";"herbe";"'04";"0";"300";"'04-22";"herbe";"";"";"";"'Inconnue";"125.335";"NIL";"0";"invalid";"";"";"";"";
"";"LF5754";"Folschviller";"Base ULM ouverte tous types";"22/11/2011";"6/06/2024";"7/06/2024";"49.074371936671,6.666426658630371";"N 49 04 28";"E 006 39 59";"1160 ft";"Pente descendante au sud, on décolle obligatoirement en 18 et on se pose obligatoirement en 36 (TDP main droite).


Procédure radio obligatoire en auto-information sur 125.335 pour aéronefs équipés.


Rajout d'un circuit rapproché école (CRE) ";"1";"herbe";"";"25";"450";"'18-36";"herbe";"";"";"";"'Inconnue";"125.335";"NIL";"6,5";"Restauration &agrave proximité, Camping possible";"becher.benoit@orange.fr";"+33 6 88 38 01 95";"";"Club ULM de Folschviller";
